,Player,Team,Position
0,Christian McCaffrey,SFO,RB
1,CeeDee Lamb,DAL,WR
2,Josh Allen,BUF,QB
3,Tyreek Hill,MIA,WR
4,Jalen Hurts,PHI,QB
5,Raheem Mostert,MIA,RB
6,Amon-Ra St. Brown,DET,WR
7,Dak Prescott,DAL,QB
8,Mike Evans,TAM,WR
9,Lamar Jackson,BAL,QB
10,Sam LaPorta,DET,TE
11,Travis Etienne,JAX,RB
12,Kyren Williams,LAR,RB
13,Puka Nacua,LAR,WR
14,D.J. Moore,CHI,WR
15,Derrick Henry,TEN,RB
16,Joe Mixon,CIN,RB
17,Jordan Love,GNB,QB
18,Breece Hall,NYJ,RB
19,A.J. Brown,PHI,WR
20,Deebo Samuel,SFO,WR
21,George Kittle,SFO,TE
22,Nico Collins,HOU,WR
23,Rachaad White,TAM,RB
24,Brandon Aiyuk,SFO,WR
25,Travis Kelce,KAN,TE
26,Keenan Allen,LAC,WR
27,T.J. Hockenson,MIN,TE
28,Stefon Diggs,BUF,WR
29,David Njoku,CLE,TE
30,Brock Purdy,SFO,QB
31,David Montgomery,DET,RB
32,Ja'Marr Chase,CIN,WR
33,Davante Adams,LVR,WR
34,Jahmyr Gibbs,DET,RB
35,Evan Engram,JAX,TE
36,James Cook,BUF,RB
37,Bijan Robinson,ATL,RB
38,D.K. Metcalf,SEA,WR
39,Jared Goff,DET,QB
40,Taysom Hill,NOR,TE
41,Amari Cooper,CLE,WR
42,Saquon Barkley,NYG,RB
43,Calvin Ridley,JAX,WR
44,Jayden Reed,GNB,WR
45,Cole Kmet,CHI,TE
46,Jordan Addison,MIN,WR
47,Jake Ferguson,DAL,TE
48,DeAndre Hopkins,TEN,WR
49,Patrick Mahomes,KAN,QB
50,Jakobi Meyers,LVR,WR
51,James Conner,ARI,RB
52,Gus Edwards,BAL,RB
53,DeVonta Smith,PHI,WR
54,George Pickens,PIT,WR
55,Trey McBride,ARI,TE
56,Chris Olave,NOR,WR
57,C.J. Stroud,HOU,QB
58,Kenneth Walker III,SEA,RB
59,Baker Mayfield,TAM,QB
60,Isiah Pacheco,KAN,RB
61,Michael Pittman Jr.,IND,WR
62,Tony Pollard,DAL,RB
63,Jerome Ford,CLE,RB
64,Najee Harris,PIT,RB
65,Tua Tagovailoa,MIA,QB
66,Dalton Schultz,HOU,TE
67,Mark Andrews,BAL,TE
68,De'Von Achane,MIA,RB
69,Justin Jefferson,MIN,WR
70,Brian Robinson Jr.,WAS,RB
71,Rashee Rice,KAN,WR
72,D'Andre Swift,PHI,RB
73,Courtland Sutton,DEN,WR
74,Terry McLaurin,WAS,WR
75,Trevor Lawrence,JAX,QB
76,Sam Howell,WAS,QB
