,Player,FG,FGA,1-19,20-29,30-39,40-49,50+,XPT,games
0,Joey Slye,4,4,0,0,1,1,2,2,1
1,Eddy Pineiro,4,4,0,0,1,3,0,1,1
2,Tyler Bass,3,3,0,1,1,1,0,3,1
3,Cameron Dicker,3,3,0,1,0,2,0,1,1
4,Ka'imi Fairbairn,3,3,0,0,2,1,0,1,1
5,Robbie Gould,3,3,0,3,0,0,0,1,1
6,Tristan Vizcaino,2,2,0,0,1,1,0,3,1
7,Jason Sanders,2,2,0,0,2,0,0,3,1
8,Greg Joseph,2,2,0,1,1,0,0,3,1
9,Chase McLaughlin,2,3,0,0,0,2,0,1,1
10,Matthew Wright,2,4,0,0,2,0,0,2,1
11,Graham Gano,1,1,0,0,0,1,0,3,1
12,Michael Badgley,1,1,0,1,0,0,0,4,1
13,Mason Crosby,1,2,0,1,0,0,0,4,1
14,Jason Myers,1,1,0,0,0,0,1,1,1
15,Cairo Santos,1,1,0,0,1,0,0,3,1
16,Wil Lutz,1,1,0,0,0,1,0,1,1
17,Cade York,1,1,0,0,1,0,0,2,1
18,Matt Gay,1,1,0,0,1,0,0,2,1
19,Randy Bullock,1,1,0,0,1,0,0,2,1
20,Riley Patterson,1,3,0,0,1,0,0,2,1
21,Brett Maher,0,0,0,0,0,0,0,4,1
22,Brandon McManus,1,1,0,0,1,0,0,1,1
23,Jake Elliott,0,0,0,0,0,0,0,3,1
24,Younghoe Koo,1,1,0,0,1,0,0,0,1
25,Harrison Butker,0,0,0,0,0,0,0,3,1
26,Ryan Succop,0,1,0,0,0,0,0,3,1
27,Daniel Carlson,0,0,0,0,0,0,0,2,1
28,Ramiz Ahmed,0,0,0,0,0,0,0,0,1
29,Rodrigo Blankenship,0,0,0,0,0,0,0,0,0
30,Zane Gonzalez,0,0,0,0,0,0,0,0,0
31,Taylor Bertolet,0,0,0,0,0,0,0,0,1
32,Elliott Fry,0,0,0,0,0,0,0,0,0
33,Caleb Shudak,0,0,0,0,0,0,0,0,0
34,John Parker Romo,0,0,0,0,0,0,0,0,0
35,James McCourt,0,0,0,0,0,0,0,0,0
36,Jake Moody,0,0,0,0,0,0,0,0,0
37,Blake Grupe,0,0,0,0,0,0,0,0,0
38,Trey Wolff,0,0,0,0,0,0,0,0,0
39,Andre Szmyt,0,0,0,0,0,0,0,0,0
40,Tanner Brown,0,0,0,0,0,0,0,0,0
41,B.T. Potter,0,0,0,0,0,0,0,0,0
42,Anders Carlson,0,0,0,0,0,0,0,0,0
43,Chad Ryland,0,0,0,0,0,0,0,0,0
44,Jack Podlesny,0,0,0,0,0,0,0,0,0
45,Lucas Havrisik,0,0,0,0,0,0,0,0,0
46,Evan McPherson,0,0,0,0,0,0,0,0,0
47,Piotr Czech,0,0,0,0,0,0,0,0,0
48,Parker Douglass,0,0,0,0,0,0,0,0,0
49,Steven Weatherford,0,0,0,0,0,0,0,0,0
50,Ricky Schmit,0,0,0,0,0,0,0,0,0
51,Zac Derr,0,0,0,0,0,0,0,0,0
52,Nick Folk,0,0,0,0,0,0,0,0,0
53,Jason Reda,0,0,0,0,0,0,0,0,0
54,Garrett Rivas,0,0,0,0,0,0,0,0,0
55,Carlos Martinez,0,0,0,0,0,0,0,0,0
56,Andrew Wellock,0,0,0,0,0,0,0,0,0
57,Matt Prater,0,0,0,0,0,0,0,0,0
58,Mark Hickok,0,0,0,0,0,0,0,0,0
59,MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0
60,Chris Boswell,0,0,0,0,0,0,0,0,0
61,Andrew Jacas,0,0,0,0,0,0,0,0,0
62,Sergio Castillo,0,0,0,0,0,0,0,0,0
63,Garrett Lindholm,0,0,0,0,0,0,0,0,0
64,Dustin Hopkins,0,0,0,0,0,0,0,0,0
65,Greg Zuerlein,0,0,0,0,0,0,0,0,0
66,Justin Tucker,0,0,0,0,0,0,0,0,0
67,Connor Hughes,0,0,0,0,0,0,0,0,0
68,Saverio Rocca,0,0,0,0,0,0,0,0,0
69,Kai Forbath,0,0,0,0,0,0,0,0,0
70,Clint Stitser,0,0,0,0,0,0,0,0,0
71,Matthew Trickett,0,0,0,0,0,0,0,0,0
