,Team,pYds,pTds,ints
0,Commanders,4627,39,8
1,Chiefs,3352,19,8
2,Chargers,4580,26,9
3,Vikings,4288,23,11
4,Browns,3149,23,18
5,Jaguars,4355,27,16
6,Bengals,4480,23,17
7,Cowboys,3481,21,17
8,Lions,4562,28,16
9,Saints,3768,22,18
10,Jets,3182,19,17
11,Texans,4334,17,14
12,Panthers,3109,19,8
13,Rams,4195,24,10
14,Packers,3803,21,7
15,Bills,3676,18,18
16,Seahawks,4259,21,11
17,Colts,4157,21,15
18,Buccaneers,4568,23,13
19,Dolphins,4132,27,15
20,Eagles,4551,35,9
21,Raiders,3900,21,13
22,Patriots,3791,19,10
23,Cardinals,3846,32,11
24,Falcons,3707,24,8
25,Giants,4157,21,18
26,Bears,4245,31,22
27,Broncos,4302,29,11
28,Steelers,4164,23,16
29,Ravens,3717,18,18
30,Titans,4181,20,6
31,49ers,3949,20,22
,Team,ryds,rTds,fumbs
0,Ravens,1860,6,4
1,Bears,1468,8,6
2,Falcons,2009,11,9
3,Browns,1793,15,5
4,Bills,1880,14,4
5,Eagles,1758,13,5
6,Lions,1509,15,4
7,49ers,1525,10,4
8,Steelers,1956,9,8
9,Saints,2038,10,4
10,Colts,2105,22,7
11,Rams,1816,14,7
12,Cardinals,2434,19,4
13,Cowboys,1910,14,8
14,Dolphins,1650,15,5
15,Giants,2251,24,6
16,Jaguars,1752,15,4
17,Broncos,2331,15,12
18,Panthers,2081,25,4
19,Titans,1831,10,3
20,Texans,1643,19,5
21,Packers,2181,15,5
22,Buccaneers,1620,11,8
23,Chargers,1924,18,8
24,Chiefs,1925,10,7
25,Patriots,1584,14,11
26,Raiders,2015,15,6
27,Vikings,1678,14,7
28,Jets,2108,14,13
29,Bengals,2145,17,6
30,Seahawks,2352,24,3
31,Commanders,2155,15,8
